date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:43	96325/96325	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:16%20GMT	https://amarresconjurosyhechizos.com/img/about.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/about.jpg	(from https://amarresconjurosyhechizos.com/)
10:17:54	17634/17634	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:27%20GMT	https://amarresconjurosyhechizos.com/img/testimonial-1.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/testimonial-1.jpg	(from https://amarresconjurosyhechizos.com/)
10:17:55	357666/357666	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:18%20GMT	https://amarresconjurosyhechizos.com/img/call-to-action-bg.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/call-to-action-bg.jpg	(from https://amarresconjurosyhechizos.com/css/style.css)
10:18:12	519313/519313	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Sat,%2031%20Oct%202020%2015:03:54%20GMT	https://amarresconjurosyhechizos.com/img/intro-carousel/2.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/intro-carousel/2.jpg	(from https://amarresconjurosyhechizos.com/)
10:18:14	11995/11995	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Oct%202020%2002:11:17%20GMT	https://amarresconjurosyhechizos.com/img/apple-touch-icon.png	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/apple-touch-icon.png	(from https://amarresconjurosyhechizos.com/)
10:18:35	165742/165742	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	date:Mon,%2005%20Oct%202020%2002:12:09%20GMT	https://amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.eot	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.eot	(from https://amarresconjurosyhechizos.com/lib/font-awesome/css/font-awesome.min.css)
10:18:57	77160/77160	UR-M--	200	added ('Partial%20Content')	font/woff2	date:Mon,%2005%20Oct%202020%2002:12:17%20GMT	https://amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.woff2	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.woff2	(from https://amarresconjurosyhechizos.com/lib/font-awesome/css/font-awesome.min.css)
10:19:00	165548/165548	UR-M--	200	added ('Partial%20Content')	font/ttf	date:Mon,%2005%20Oct%202020%2002:12:15%20GMT	https://amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.ttf	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.ttf	(from https://amarresconjurosyhechizos.com/lib/font-awesome/css/font-awesome.min.css)
10:19:03	35503/35503	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2002:12:43%20GMT	https://amarresconjurosyhechizos.com/lib/isotope/isotope.pkgd.min.js	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/isotope/isotope.pkgd.min.js	(from https://amarresconjurosyhechizos.com/)
10:19:05	188508/188508	UR-M--	200	added ('Partial%20Content')	font/ttf	date:Mon,%2005%20Oct%202020%2002:12:38%20GMT	https://amarresconjurosyhechizos.com/lib/ionicons/fonts/ionicons-v=2.0.0.ttf	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/ionicons/fonts/ionicons-v=2.0.0.ttf	(from https://amarresconjurosyhechizos.com/lib/ionicons/css/ionicons.min.css)
10:20:39	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Oct%202020%2002:12:36%20GMT	https://amarresconjurosyhechizos.com/lib/ionicons/fonts/ionicons-v=2.0.0.svg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/ionicons/fonts/ionicons-v=2.0.0.svg	(from https://amarresconjurosyhechizos.com/lib/ionicons/css/ionicons.min.css)
10:21:34	42766/42766	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2002:13:23%20GMT	https://amarresconjurosyhechizos.com/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/owlcarousel/owl.carousel.min.js	(from https://amarresconjurosyhechizos.com/)
10:21:41	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Oct%202020%2002:12:12%20GMT	https://amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.svg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/font-awesome/fonts/fontawesome-webfont-v=4.7.0.svg	(from https://amarresconjurosyhechizos.com/lib/font-awesome/css/font-awesome.min.css)
10:22:45	395311/395311	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:08%20GMT	https://amarresconjurosyhechizos.com/img/about-bg.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/about-bg.jpg	(from https://amarresconjurosyhechizos.com/css/style.css)
